token_id,token_raw,token_decoded
53022,à°Ħ,ఄ
53530,Ġbedrijfs, bedrijfs
54271,à°´,ఴ
54299,à°¼,఼
54639,à±ķ,ౕ
54777,à±ĺ,ౘ
54845,à±Ļ,ౙ
55009,à±ļ,ౚ
55010,à±Ŀ,ౝ
55190,à±¡,ౡ
55232,à±¢,ౢ
55245,à±£,ౣ
56047,à±·,౷
56071,à±¸,౸
56203,à±º,౺
56249,à±»,౻
56377,à±¼,౼
56441,à±½,౽
56503,à±¾,౾
56531,à±¿,౿
56658,à¤Ħ,ऄ
56968,à¤º,ऺ
56973,à¤»,ऻ
57255,à¥İ,ॎ
57452,à¥ı,ॏ
57660,à¥ĵ,॓
57838,à¥ĸ,ॖ
57845,à¥Ĺ,ॗ
57876,à¥Ļ,ख़
57990,à¥Ł,य़
58172,à¥±,ॱ
58186,à¥²,ॲ
58269,à¥³,ॳ
58358,à¥´,ॴ
58417,à¥µ,ॵ
58614,à¥¶,ॶ
58817,à¥·,ॷ
58928,à¥¹,ॹ
58929,à¥º,ॺ
59046,à¥½,ॽ
59113,Ġà¬ģ, ଁ
59114,Ġà¬Ĥ, ଂ
59130,Ġà¬ĥ, ଃ
59866,ÉĻcÉĻk,əcək
60745,Ã¨anamh,èanamh
61651,ĠàŃĢ, ୀ
61839,ĠàŃĦ, ୄ
61903,ĠàŃĪ, ୈ
62003,ĠàŃĭ, ୋ
62020,ĠàŃĮ, ୌ
62145,ĠàŃķ, ୕
62149,ĠàŃĸ, ୖ
62185,ĠàŃĹ, ୗ
62198,ĠàŃľ, ଡ଼
62211,ĠàŃĿ, ଢ଼
62476,ĠàŃ¡, ୡ
62559,ĠàŃ¢, ୢ
62618,ĠàŃ£, ୣ
62668,ĠàŃ¦, ୦
62725,ĠàŃ§, ୧
62789,ĠàŃ¨, ୨
62833,ĠàŃ©, ୩
62854,ĠàŃª, ୪
62901,ĠàŃ«, ୫
62906,ĠàŃ¬, ୬
62941,ĠàŃŃ, ୭
63014,ĠàŃ®, ୮
63028,ĠàŃ¯, ୯
63092,ĠàŃ°, ୰
63135,ĠàŃ², ୲
63144,ĠàŃ³, ୳
63187,ĠàŃ´, ୴
63212,ĠàŃµ, ୵
63230,ĠàŃ¶, ୶
63310,ĠàŃ·, ୷
63313,Ġà¨ģ, ਁ
63472,Ġà¨ĥ, ਃ
64162,Ġà¨³, ਲ਼
65039,Ġà©ĳ, ੑ
65107,Ġà©Ļ, ਖ਼
65143,Æ°á»£t,ượt
65308,Ġà©ļ, ਗ਼
65492,Ġà©Ľ, ਜ਼
65533,Ġà©ŀ, ਫ਼
65534,ĠqÉĻdÉĻr, qədər
65549,Ġà©¦, ੦
65604,Ġà©§, ੧
65774,Ġà©¨, ੨
65848,Ġà©©, ੩
65851,Ġà©ª, ੪
65917,adaxweynaha,adaxweynaha
65939,Ġà©«, ੫
66033,Ġà©¬, ੬
66082,Ġà©Ń, ੭
66176,Ġà©®, ੮
66333,Ġà©¯, ੯
66531,Ġà©µ, ੵ
66565,Ġà©¶, ੶
67101,ĠàªĮ, ઌ
67465,Ġàª½, ઽ
67793,Ġà«Ĥ, ૂ
67839,Ġà«ĥ, ૃ
67930,Ġà«Ħ, ૄ
68060,Ġà«ħ, ૅ
68474,ĠnÃ¸dvend, nødvend
68560,Ġà«¡, ૡ
68593,Ġà«¢, ૢ
68610,Ġà«£, ૣ
68648,Ġà«¦, ૦
68693,Ġà«§, ૧
68765,Ġà«¨, ૨
68780,Ġà«©, ૩
68803,Ġà«ª, ૪
68845,Ġà««, ૫
68888,Ġà«¬, ૬
68913,Ġà«Ń, ૭
69009,Ġà«®, ૮
69107,Ġà«¯, ૯
69142,Ġà«°, ૰
69225,Ġà«±, ૱
69289,Ġà«¹, ૹ
69307,Ġà«º, ૺ
69362,Ġà«», ૻ
69451,Ġà«¼, ૼ
69491,Ġà«½, ૽
69739,Ġà«¾, ૾
69822,Ġà«¿, ૿
69862,Ġà´Ģ, ഀ
69865,Ġà´ģ, ഁ
69981,Ġà´Ħ, ഄ
70047,ĠmÉĻlumat, məlumat
70091,Ġà´Į, ഌ
70347,Ġà´©, ഩ
70431,Ġà´º, ഺ
70646,Ġà´», ഻
70708,Ġà´¼, ഼
70744,Ġà´½, ഽ
70980,ĠàµĤ, ൂ
71019,ĠàµĦ, ൄ
71072,ĠàµĬ, ൊ
71390,Ġàµİ, ൎ
71464,Ġàµı, ൏
71466,ĠàµĶ, ൔ
71485,Ġàµķ, ൕ
71488,Ġàµĸ, ൖ
71510,ĠàµĹ, ൗ
71560,Ġàµĺ, ൘
71638,ĠàµĻ, ൙
71777,Ġàµļ, ൚
71779,ĠàµĽ, ൛
71836,Ġàµľ, ൜
71897,ĠàµĿ, ൝
71996,Ġàµŀ, ൞
72053,ĠàµŁ, ൟ
72166,Ġàµł, ൠ
72195,Ġàµ¡, ൡ
72339,Ġàµ¢, ൢ
72418,Ġàµ£, ൣ
72478,Ġàµ¦, ൦
72571,Ġàµ§, ൧
72579,Ġàµ¨, ൨
72588,Ġàµ©, ൩
72590,Ġàµª, ൪
72625,Ġàµ«, ൫
72821,Ġàµ¬, ൬
72888,ĠàµŃ, ൭
72909,Ġàµ®, ൮
72970,Ġàµ¯, ൯
73028,Ġàµ°, ൰
73065,Ġàµ±, ൱
73182,Ġàµ², ൲
73302,Ġàµ³, ൳
73307,Ġàµ´, ൴
73353,Ġàµµ, ൵
73361,Ġàµ¶, ൶
73447,Ġàµ·, ൷
73521,Ġàµ¸, ൸
73531,Ġàµ¹, ൹
73825,Ġàµ¿, ൿ
73831,Ġà²Ģ, ಀ
73922,Ġà²ģ, ಁ
74286,Ġà²Ħ, ಄
74870,Ġà²¼, ಼
74915,Ġà²½, ಽ
75055,Ġà³Ĥ, ೂ
75186,Ġà³ĥ, ೃ
75219,Ġà³Ħ, ೄ
75290,Ġà³ĩ, ೇ
75726,Ġà³ĸ, ೖ
75727,Ġà³Ŀ, ೝ
75767,Ġà³ŀ, ೞ
75770,Ġà³ł, ೠ
75772,Ġà³¡, ೡ
75859,Ġà³¢, ೢ
76061,Ġà³£, ೣ
76155,Ġà³¦, ೦
76196,Ġà³§, ೧
76217,Ġà³¨, ೨
76219,Ġà³©, ೩
76241,Ġà³ª, ೪
76258,qatigiit,qatigiit
76271,Ġà³«, ೫
76310,Ġà³¬, ೬
76324,Ġà³Ń, ೭
76326,Ġà³®, ೮
76415,Ġà³¯, ೯
76543,Ġà³±, ೱ
76593,Ġà³², ೲ
76615,Ġà¦Ģ, ঀ
76779,Ġà¦Į, ঌ
77109,Ġà¦½, ঽ
77677,Ġà§Ħ, ৄ
78305,Ġà§¡, ৡ
78333,Ġà§¢, ৢ
78403,Ġà§£, ৣ
78470,Ġà§¦, ০
78472,Ġà§§, ১
78554,Ġà§¨, ২
78569,Ġà§©, ৩
78638,Ġà§ª, ৪
78640,Ġà§«, ৫
78647,Ġà§¬, ৬
78666,Ġà§Ń, ৭
78672,Ġà§®, ৮
78730,Ġà§¯, ৯
78777,Ġà§², ৲
78817,Ġà§´, ৴
78826,Ġà§µ, ৵
78863,Ġà§¶, ৶
78886,Ġà§·, ৷
78896,Ġà§¸, ৸
78901,Ġà§¹, ৹
78903,ĠrÃ©flÃ©ch, réfléch
79050,Ġà§», ৻
79080,Ġà§¼, ৼ
79112,Ġà§½, ৽
79125,Ġà§¾, ৾
79130,Ġà®Ĥ, ஂ
79501,Ġà¯Ģ, ீ
79628,Ġà¯Ĥ, ூ
79783,Ġà¯ĭ, ோ
79853,Ġà¯Į, ௌ
79926,Ġà¯Ĳ, ௐ
79972,Ġà¯¦, ௦
79979,Ġà¯§, ௧
79985,Ġà¯¨, ௨
79995,Ġà¯©, ௩
80071,Ġà¯ª, ௪
80169,Ġà¯«, ௫
80239,Ġà¯¬, ௬
80245,Ġà¯Ń, ௭
80260,Ġà¯®, ௮
80316,Ġà¯¯, ௯
80324,Ġà¯°, ௰
80384,Ġà¯±, ௱
80391,Ġà¯², ௲
80418,Ġà¯³, ௳
80456,Ġà¯´, ௴
80475,Ġà¯µ, ௵
80485,Ġà¯¶, ௶
80486,Ġà¯·, ௷
80538,Ġà¯¸, ௸
80573,Ġà¯¹, ௹
80620,Ġà¯º, ௺
80624,Ġà°Ģ, ఀ
80806,Ġà°Ħ, ఄ
80870,Ġà°Į, ఌ
81129,Ġà°´, ఴ
81180,Ġà°¼, ఼
81618,Ġà±Ħ, ౄ
81694,Ġà±Ĭ, ొ
81787,Ġà±ĭ, ో
81921,Ġà±Į, ౌ
82028,Ġà±ķ, ౕ
82129,Ġà±ĺ, ౘ
82213,Ġà±Ļ, ౙ
82276,Ġà±ļ, ౚ
82280,Ġà±Ŀ, ౝ
82340,Ġà±¡, ౡ
82376,Ġà±¢, ౢ
82426,Ġà±£, ౣ
82440,Ġà±¦, ౦
82444,Ġà±§, ౧
82461,Ġà±¨, ౨
82466,Ġà±©, ౩
82534,Ġà±ª, ౪
82600,Ġà±«, ౫
82617,Ġà±¬, ౬
82627,Ġà±Ń, ౭
82651,Ġà±®, ౮
82660,Ġà±¯, ౯
82673,Ġà±·, ౷
82692,Ġà±¸, ౸
82738,Ġà±¹, ౹
82750,Ġà±º, ౺
82812,Ġà±», ౻
82849,Ġà±¼, ౼
82884,Ġà±½, ౽
82991,Ġà±¾, ౾
82994,Ġà±¿, ౿
83022,Ġà¤Ģ, ऀ
83107,Ġà¤Ħ, ऄ
83218,Ġà¤©, ऩ
83278,Ġà¤´, ऴ
83290,ÉĻcÉĻ,əcə
83357,Ġà¤º, ऺ
83363,Ġà¤», ऻ
83472,Ġà¥Ħ, ॄ
83553,Ġà¥Ĩ, ॆ
83604,Ġà¥Ĭ, ॊ
83692,Ġà¥İ, ॎ
83724,Ġà¥ı, ॏ
83802,Ġà¥ĳ, ॑
83942,Ġà¥Ĵ, ॒
83952,Ġà¥ĵ, ॓
83973,Ġà¥Ķ, ॔
83989,Ġà¥ķ, ॕ
84080,Ġà¥ĸ, ॖ
84149,Ġà¥Ĺ, ॗ
84292,Ġà¥Ŀ, ढ़
84556,Ġà¥¢, ॢ
84565,Ġà¥£, ॣ
84602,Ġà¥¦, ०
84701,Ġà¥§, १
84756,Ġà¥¨, २
84757,Ġà¥©, ३
84782,Ġà¥ª, ४
84916,Ġà¥«, ५
84928,Ġà¥¬, ६
84947,Ġà¥Ń, ७
84949,Ġà¥®, ८
84953,Ġà¥¯, ९
85027,Ġà¥±, ॱ
85029,Ġà¥², ॲ
85061,Ġà¥³, ॳ
85084,Ġà¥´, ॴ
85187,Ġà¥µ, ॵ
85193,Ġà¥¶, ॶ
85210,Ġà¥·, ॷ
85220,Ġà¥¸, ॸ
85231,Ġà¥¹, ॹ
85254,Ġà¥º, ॺ
85278,Ġà¥», ॻ
85281,Ġà¥¼, ॼ
85310,Ġà¥½, ॽ
85323,Ġà¥¾, ॾ
85345,Ġà¥¿, ॿ
89187,à¬ķà¬°à¬¾à¬¯à¬¾à¬ĩ,କରାଯାଇ
90419,à¬°à¬¹à¬¿à¬Ľ,ରହିଛ
91248,à¬ĻàŃįà¬Ĺ,ଙ୍ଗ
91393,ĠÃ¤uÃŁer, äußer
91400,à¬ķà¬¹à¬¿à¬Ľ,କହିଛ
91820,wodraeth,wodraeth
92970,Ġàµ, �
94805,enschappelijke,enschappelijke
96332,ĠrannsÃ³kn, rannsókn
96652,à¬£àŃįà¬Ł,ଣ୍ଟ
96789,àŃĥà¬·àŃįà¬Łà¬¿,ୃଷ୍ଟି
97190,à¬¿à¬²àŃįà¬²à¬¾,ିଲ୍ଲା
97765,à¬ªà¬¹à¬ŀàŃįà¬ļ,ପହଞ୍ଚ
98249,ĠÃ§Ä±kt, çıkt
99382,à¬ľà¬¿à¬²àŃįà¬²,ଜିଲ୍ଲ
99510,à¬ŀàŃįà¬ľ,ଞ୍ଜ
99539,à¬¬àŃįàŃŁà¬¬à¬¹,ବ୍ୟବହ
100602,à¬®à¬¨àŃįà¬¦à¬¿,ମନ୍ଦି
100925,à¬¬àŃįà¬²,ବ୍ଲ
101416,ĠympÃ¤r, ympär
101462,à¬ªàŃįà¬°à¬¤àŃįàŃŁ,ପ୍ରତ୍ୟ
101617,à¬Ĩà¬¬à¬¶àŃįàŃŁ,ଆବଶ୍ୟ
101919,à¬°àŃįà¬¯àŃįàŃŁà¬¾,ର୍ଯ୍ୟା
102380,à¬¾à¬¹à¬¿à¬ģ,ାହିଁ
102888,ÉĻrbayc,ərbayc
102896,à¨ķà¨¿à¨¹à©ľ,ਕਿਹੜ
103025,à¨Ľà©ĭà¨Ł,ਛੋਟ
103150,à¨µà©±à¨¡,ਵੱਡ
103299,ĠzakljuÄį, zaključ
104837,à¨µà©°à¨ľà¨¾,ਵੰਜਾ
104936,à¨²à¨¾à¨Ĥ,ਲਾਂ
106552,à¨¹à©±à¨¤à¨°,ਹੱਤਰ
106706,fÃ¸lgelig,følgelig
107086,à¨Ĩà¨°à©°,ਆਰੰ
107372,Ġindrukwekk, indrukwekk
107862,à¨¤à¨°à©Ģ,ਤਰੀ
107986,à¨¦à©ģà¨Ĩ,ਦੁਆ
108096,ĠnepiecieÅ¡, nepiecieš
108469,à¨ªà©°à¨ľà¨¾,ਪੰਜਾ
108613,à¨µà¨¿à¨ħà¨ķ,ਵਿਅਕ
108671,à¨ļà¨¾à¨¹à©Ģ,ਚਾਹੀ
108837,à¨¬à©°à¨§,ਬੰਧ
109468,à¨ħà¨ľà¨¿,ਅਜਿ
111090,àª²àª¾àªĹ,લાગ
111865,àª²àª¾àªĤ,લાં
112931,à´¾à´¯à´¿à´°àµģà´¨àµįà´¨,ായിരുന്ന
113002,à´¯à´¿à´²,യില
113170,à´°à´¿à´ķàµįà´ķàµģà´¨àµįà´¨,രിക്കുന്ന
113316,à´¨à´¿à´¨àµįà´¨,നിന്ന
113533,à´¿à´¯à´¿,ിയി
113806,à´¤à´¿à´¯,തിയ
114304,voldoende,voldoende
114386,à´ļàµĨà´¯àµįà´¯,ചെയ്യ
114418,à´ķàµĬà´£àµįà´Ł,കൊണ്ട
114628,à´°à´¿à´ķàµįà´ķ,രിക്ക
114759,à´Ĩà´µà´¶àµįà´¯,ആവശ്യ
114842,à´°à´¿à´¯,രിയ
114863,à´ļàµĨà´¯àµįà´¯àµģà´¨àµįà´¨,ചെയ്യുന്ന
115072,à´ªàµĬà´²àµĢ,പൊലീ
115214,à´®à´¾à´¤àµįà´°,മാത്ര
115219,à´¤àµįà´¤à´¿à´¯,ത്തിയ
115223,à´®à´¾à´±àµįà´±,മാറ്റ
115285,à´ķàµĤà´Łàµģ,കൂടു
115322,à²®à²¾à²¡,ಮಾಡ
115701,à²¿à²¤à³įà²¤,ಿತ್ತ
115789,à²®à³ĩà²²,ಮೇಲ
115801,à²¹à³Ĩà²ļà³įà²ļ,ಹೆಚ್ಚ
115990,enschappelijk,enschappelijk
116339,à²¤à³Ĩà²Ĺ,ತೆಗ
116420,ÉĻlxalq,əlxalq
116504,à²¯à²¾à²µà³ģà²¦,ಯಾವುದ
116641,ĠIlinni, Ilinni
116973,à²¨à²¡à³Ĩà²¸,ನಡೆಸ
117029,à²İà²°à²¡,ಎರಡ
117308,à²¤à²¿à²³,ತಿಳ
117754,à²ķà²¾à²£,ಕಾಣ
117766,ıà¤ķà¥ĭ,�को
118130,Ġà¥¤ĊĊ," ।

"
118486,à§§à§,১�
119799,ıà¤ķà¤¾,�का
119988,à¤¾à¤łà¤®à¤¾à¤¡,ाठमाड
120111,Ġà¤°à¤¹à¥ĩà¤ķà¥ĭ, रहेको
120403,Ġà¤Ĺà¤°à¥ĩà¤ķà¤¾, गरेका
120881,à¤¾à¤łà¤®à¤¾à¤¡à¥Įà¤Ĥ,ाठमाडौं
121609,Ġà¤Ĩà¤«à¥įà¤¨à¥ĭ, आफ्नो
121662,à¨¶,ਸ਼
122034,à¤¿à¤ıà¤ķà¤¾,िएका
122360,Ġà¤Ńà¤¨à¥įà¤¨à¥ĩ, भन्ने
122674,à®ļà¯Ĩà®¯à¯įà®¤,செய்த
123050,à®µà®°à¯ģ,வரு
123500,à®¨à®¿à®²à¯Īà®¯,நிலைய
123682,à®ĩà®°à¯ģà®ķà¯įà®ķ,இருக்க
123998,Ġà¤Ĩà¤ıà¤ķà¥ĭ, आएको
124138,à¤¨à¥įà¤¦à¥Ī,न्दै
124165,à®ªà¯įà®ªà®Łà¯ģ,ப்படு
124197,âĢįà´¨àµįà´¨àµį,‍ന്ന്
124264,à®°à¯ģà®ķà¯įà®ķ,ருக்க
124343,Ġà¤°à¤¹à¥ĩà¤ķà¤¾, रहेका
124372,Ġà¤Ĺà¤°à¥įà¤¨à¥ģ, गर्नु
124382,Ġà¤ªà¤¹à¤¿à¤²à¥ĭ, पहिलो
124449,à®¤à®¿à®ķ,திக
124471,Ġà¤ľà¤¨à¤¾à¤ıà¤ķà¥ĭ, जनाएको
124636,âĢĮà²¨à²²à³įà²²à²¿,‌ನಲ್ಲಿ
124639,à®®à¯ģà®Łà®¿à®¯,முடிய
124894,à©Ľ,ਜ਼
124916,à§Łà¦¾à¦®à§Ģ,য়ামী
125016,à¥¤âĢĻĊĊ,"।’

"
125102,Ġà¤Ńà¤¨à¥įà¤¦à¤¾, भन्दा
125225,à¤¾à¤ıà¤°,ाएर
125257,à¥¤âĢĿĊĊ,"।”

"
125339,Ġà¤°à¥Ĥà¤ªà¤®à¤¾, रूपमा
125347,Ġà¦Ĩà¦ĵà§Łà¦¾à¦®à§Ģ, আওয়ামী
125416,Ġà¤ķà¤¾à¤łà¤®à¤¾à¤¡à¥Įà¤Ĥ, काठमाडौं
125430,Ġà¨¶, ਸ਼
125471,à°²à±ĩà°¦,లేద
125511,à°°à°¿à°¯,రియ
125560,à°ļà±Ĩà°ªà±įà°ª,చెప్ప
125626,Ġà¤ªà¥ģà¤Ĺà¥ĩ, पुगे
125667,à¤Ńà¤¨à¥įà¤¦à¤¾,भन्दा
125894,à¤Ľà¤¨à¥į,छन्
125934,Ġà´ªà´¾à´°àµį, പാര്
126132,âĢįà´¤àµįà´¥,‍ത്ഥ
126232,âĢįà´ķà´¿à´¯,‍കിയ
126272,à°ļà±ĩà°¯,చేయ
126399,Ġà¤ªà¥įà¤°à¤¹à¤°à¥Ģà¤²à¥ĩ, प्रहरीले
126522,Ġà¤¦à¤¿à¤ıà¤ķà¥ĭ, दिएको
126652,Ġà¤ķà¥įà¤°à¤®à¤®à¤¾, क्रममा
126694,âĢĮà°°à±į,‌ర్
126708,à¤ķà¥įà¤°à¤¾à¤ī,क्राउ
126770,à¤¿à¤°à¤¹à¥ĩà¤ķà¥ĭ,िरहेको
126898,Ġà¤ķà¥įà¤·à¥ĩà¤¤à¥įà¤°à¤®à¤¾, क्षेत्रमा
126990,Ġà¤®à¤¾à¤¨à¤¿à¤¸, मानिस
126992,à¤¹à¥ĭà¤¸à¥į,होस्
126997,à²¿à³ķ,ೀ
127028,Ġà¤¤à¤ªà¤¾à¤Īà¤Ĥ, तपाईं
127101,Ġà¤ªà¤Ľà¤¿, पछि
127212,Ġà¤ªà¤ķà¥įà¤°à¤¾à¤ī, पक्राउ
127290,àµĩà´¾à´Ĺ,ോഗ
127489,à°µà°°à±įà°Ĺ,వర్గ
127505,Ġà¤¸à¤ķà¥įà¤Ľ, सक्छ
127537,à°ªà±įà°°à°¾à°¸à°¬à°¦à±įà°§,ప్రాసబద్ధ
127678,Ġà¤łà¥Ĥà¤², ठूल
127709,à¤ķà¥ĩà¤ķà¥ĭ,केको
127734,Ġà¤¹à¤¾à¤®à¥įà¤°à¥ĭ, हाम्रो
127825,Ġà¤²à¤¾à¤Ĺà¥ĩà¤ķà¥ĭ, लागेको
127863,Ġà¤Ĩà¤ıà¤ķà¤¾, आएका
128011,Ġà¤Ńà¤ıà¤ķ, भएक
128082,à¤¾à¤īà¤ģà¤¦à¥Ī,ाउँदै
128111,âĢįà´·à´Ĥ,‍ഷം
128186,Ġà¤łà¥Ĥà¤²à¥ĭ, ठूलो
128290,à¤µà¤°à¥įà¤¤à¤¨à¥Ģ,वर्तनी
128318,Ġà¤ªà¤°à¥ĩà¤ķà¥ĭ, परेको
128381,Ġà¤Ńà¤¿à¤¡à¤¿à¤¯à¥ĭ, भिडियो
128389,à¥Īà¤¯à¤¾à¤ģ,ैयाँ
128462,âĢĮà²Ĺà³Ĩ,‌ಗೆ
128549,Ġà¤łà¤¾à¤īà¤ģ, ठाउँ
128816,à¤¶à¤¬à¥įà¤¦à¤¾,शब्दा
128887,Ġà¤°à¥ģà¤ªà¥Īà¤¯à¤¾à¤ģ, रुपैयाँ
128927,à¥ģà¤Ńà¤ıà¤ķà¥ĭ,ुभएको
129015,Ġà¤¹à¥ģà¤¨à¥ĩà¤Ľ, हुनेछ
129049,à¤¯à¤®à¤ķ,यमक
129140,Ġà¤Ĺà¤ıà¤ķà¥ĭ, गएको
129145,Ġà¤īà¤¨à¤²à¤¾à¤Ī, उनलाई
129146,à¤¦à¥ģà¤¸à¤°,दुसर
129161,Ġà¤ıà¤®à¤¾à¤²à¥ĩ, एमाले
129193,Ġà´µà´¿à´¦àµįà´¯à´¾à´°àµį, വിദ്യാര്
129215,Ġà¤¹à¥ģà¤ģà¤¦à¥Ī, हुँदै
129233,Ġà¤ķà¥ĩà¤ģ, केँ
129274,à¤ħà¤ķà¥įà¤·à¤°à¥ĩ,अक्षरे
129341,Ġà¤ħà¤µà¤¸à¥įà¤¥à¤¾à¤®à¤¾, अवस्थामा
129350,Ġà¤¹à¥ģà¤¨à¥ģ, हुनु
129568,âĢįà´¹à´¿,‍ഹി
129588,à¤¨à¥įà¤¦à¥ĭà¤²à¤¨,न्दोलन
129637,à¤¹à¤°à¥Ĥà¤²à¥ĩ,हरूले
129795,Ġà¤¸à¤®à¤¯à¤®à¤¾, समयमा
129825,Ġà¤Ńà¤ĩà¤°à¤¹à¥ĩà¤ķà¥ĭ, भइरहेको
129838,Ġà¤¨à¤¿à¤ķà¥Ī, निकै
129847,Ġà¤¨à¥ĩà¤ªà¤¾à¤²à¤ķà¥ĭ, नेपालको
129972,âĢįà´Ĺàµįà´°à´¸àµį,‍ഗ്രസ്
129978,à¤ħà¤ĺà¤¿,अघि
130101,Ġà¤¹à¥ģà¤ģà¤¦à¤¾, हुँदा
130115,à³Ĩà³ķ,ೇ
130173,à¤®à¤¿à¤³,मिळ
130195,Ġà¤Ńà¤ıà¤ªà¤Ľà¤¿, भएपछि
130246,Ġà´īà´¯à´°àµį, ഉയര്
130456,à¤ĩà¤¸à¤ķ,इसक
130499,à¤¿à¤°à¤¹à¥ĩà¤ķà¤¾,िरहेका
130656,Ġà¤®à¥ģà¤¦à¤¾, मुदा
130699,âĢĮà°¨à±į,‌న్
130716,<|begin_of_text|>,<|begin_of_text|>
130717,<|end_of_text|>,<|end_of_text|>
130718,<|pad|>,<|pad|>
130719,<|unk|>,<|unk|>
130720,<|sep|>,<|sep|>
130721,<|cls|>,<|cls|>
130722,<|mask|>,<|mask|>
130723,<|newline|>,<|newline|>
130724,<|paragraph|>,<|paragraph|>
130725,<|document|>,<|document|>
130726,<|system|>,<|system|>
130729,<|tool|>,<|tool|>
130730,<|function|>,<|function|>
130731,<|context|>,<|context|>
130732,<|instruction|>,<|instruction|>
130733,<|response|>,<|response|>
130734,<|turn|>,<|turn|>
130735,<|end_turn|>,<|end_turn|>
130736,<|code_begin|>,<|code_begin|>
130737,<|code_end|>,<|code_end|>
130738,<|output_begin|>,<|output_begin|>
130739,<|output_end|>,<|output_end|>
130740,<|error|>,<|error|>
130741,<|stdin|>,<|stdin|>
130742,<|stdout|>,<|stdout|>
130743,<|stderr|>,<|stderr|>
130744,<|file_begin|>,<|file_begin|>
130745,<|file_end|>,<|file_end|>
130746,<|lang:python|>,<|lang:python|>
130747,<|lang:javascript|>,<|lang:javascript|>
130748,<|lang:typescript|>,<|lang:typescript|>
130749,<|lang:java|>,<|lang:java|>
130750,<|lang:cpp|>,<|lang:cpp|>
130751,<|lang:c|>,<|lang:c|>
130752,<|lang:rust|>,<|lang:rust|>
130753,<|lang:go|>,<|lang:go|>
130754,<|lang:ruby|>,<|lang:ruby|>
130755,<|lang:php|>,<|lang:php|>
130756,<|lang:swift|>,<|lang:swift|>
130757,<|lang:kotlin|>,<|lang:kotlin|>
130758,<|lang:scala|>,<|lang:scala|>
130759,<|lang:r|>,<|lang:r|>
130760,<|lang:julia|>,<|lang:julia|>
130761,<|lang:sql|>,<|lang:sql|>
130762,<|lang:html|>,<|lang:html|>
130763,<|lang:css|>,<|lang:css|>
130764,<|lang:bash|>,<|lang:bash|>
130765,<|lang:shell|>,<|lang:shell|>
130766,<|json_begin|>,<|json_begin|>
130767,<|json_end|>,<|json_end|>
130768,<|tool_call|>,<|tool_call|>
